ü	age group	ab thinking	school	subject	sex	logic	olymp	tutor	f tasks	mean grade	ball	t university
153	1	150	3	0	1	57	1	1	126	5,4	173	1
154	1	140	1	1	0	64	2	0	313	5,4	133	1
155	1	110	1	1	0	43	0	0	211	6,4	161	2
156	1	142	1	0	0	45	0	0	309	4,3	147	2
157	1	128	1	0	0	58	3	0	259	4,3	130	1
158	1	144	0	0	0	50	1	0	200	3,7	126	3
159	1	130	3	2	1	55	1	0	262	6	155	1
160	1	150	0	2	1	62	3	0	244	4,9	154	3
161	1	120	0	1	0	37	2	0	215	6,5	170	1
162	1	120	0	2	0	38	0	0	231	7,5	182	3
163	1	130	0	1	1	41	1	0	214	5,9	168	2
164	1	178	1	2	0	66	0	1	228	5,2	165	3
165	1	112	1	1	0	52	3	0	230	4	160	2
166	1	120	3	0	1	56	2	0	193	4,5	162	1
167	1	105	1	2	0	46	3	0	204	5,7	172	1
168	1	138	2	2	0	46	0	0	243	4,4	152	2
169	1	130	2	2	0	64	3	0	303	7,4	122	1
170	1	138	2	0	0	59	0	0	271	6	182	1
171	1	112	1	2	1	41	0	0	268	8	172	1
172	1	108	3	1	0	54	0	0	267	5	167	3
173	1	94	1	2	0	39	1	0	199	5,3	179	3
174	1	123	0	0	0	53	1	0	282	6,4	95	1
175	1	108	1	2	1	63	2	0	269	5,1	169	1
176	1	118	0	2	1	34	0	0	210	6,5	192	3
177	1	112	2	2	0	47	2	0	204	5,4	143	2
178	1	152	1	1	0	67	0	0	277	8,6	172	3
179	1	110	2	2	0	54	2	0	206	4,7	108	1
180	1	112	1	2	1	66	3	0	212	7,1	132	3
181	1	136	2	0	1	52	3	0	196	4,7	169	3
182	1	180	1	0	0	55	2	0	327	7,2	117	3
183	1	118	2	0	0	49	3	0	149	9,2	126	2
184	1	120	1	0	1	74	2	0	269	4,1	121	2
185	1	160	2	1	0	54	2	0	201	8,8	163	1
186	1	122	2	0	1	54	2	0	286	7,3	116	2
187	1	130	3	1	0	56	0	1	283	8,2	103	2
188	1	120	1	1	1	46	1	0	249	4,9	144	2
189	1	134	1	2	0	49	2	0	271	8,4	162	1
190	1	120	1	2	1	42	3	0	295	9,1	162	3
191	1	110	1	1	1	41	1	0	235	8,1	153	2
192	1	126	3	2	1	41	3	0	306	6,7	163	1
193	1	130	2	1	1	49	1	0	269	9,3	163	1
194	1	134	0	2	0	61	2	0	234	7,3	145	1
195	1	120	1	1	1	60	1	1	178	8,1	96	3
196	1	120	0	0	1	67	3	0	237	9,3	71	3
197	1	100	3	1	0	58	2	0	234	6,8	156	1
198	1	110	1	0	1	47	2	0	275	4,9	118	2
199	1	125	1	1	1	52	1	0	212	3,6	168	2
200	1	128	1	0	0	62	0	1	208	9,2	140	1
201	2	110	3	2	1	57	3	0	201	8,8	126	2
202	2	146	0	2	0	58	3	0	218	4,9	105	1
203	2	128	1	2	0	64	3	0	263	5,1	105	2
204	2	120	0	0	1	51	2	0	295	4,6	157	3
205	2	115	1	0	1	43	2	0	303	7,6	181	1
206	2	120	1	1	1	42	3	0	209	9,3	173	2
207	2	106	1	0	1	67	1	0	223	4,4	142	2
208	2	140	1	2	1	76	1	0	197	6,8	116	1
209	2	156	1	0	1	70	3	0	245	4,2	143	3
210	2	124	3	1	1	57	1	0	261	7,3	141	3
211	2	118	2	0	0	44	2	0	242	8,1	149	1
212	2	136	0	0	0	58	3	1	319	6,1	152	2
213	2	150	0	1	0	60	3	0	240	9,2	171	1
214	2	120	1	2	0	44	2	0	226	6,4	169	2
215	2	138	1	2	1	61	0	0	166	7,2	125	3
216	2	136	3	0	1	42	2	0	315	7,9	125	3
217	2	126	1	1	1	59	3	1	218	6	134	2
218	2	152	3	2	0	40	3	0	223	3,6	181	1
219	2	130	0	2	0	42	2	0	180	4,4	150	3
220	2	140	3	1	0	61	3	0	207	7,6	138	2
221	2	160	0	0	0	66	0	0	228	9	138	1
222	2	140	1	0	0	46	2	0	311	8,2	120	1
223	2	112	0	1	1	71	2	0	149	4,9	125	1
224	2	134	0	2	1	59	3	0	204	7,4	162	1
225	2	170	2	1	0	64	2	0	227	4,1	155	3
226	2	146	1	0	0	66	0	0	278	4,8	152	3
227	2	138	1	1	0	39	3	0	220	7,6	152	1
228	2	154	0	2	0	57	0	0	232	6,4	164	3
229	2	130	3	2	0	58	0	0	197	4,3	131	3
230	2	110	0	1	0	57	2	0	335	8,6	143	2
231	2	130	0	1	0	47	1	0	253	8,9	179	3
232	2	128	1	0	1	55	1	0	205	8,5	130	1
233	2	122	0	0	1	35	3	0	192	8,5	174	3
234	2	148	0	1	1	61	2	0	203	7,8	161	2
235	2	114	1	0	0	58	0	0	318	3,9	140	3
236	2	170	1	1	0	58	0	1	225	7,2	146	3
237	2	130	2	0	1	56	0	0	221	5,2	163	1
238	2	120	1	0	0	56	1	0	240	8	169	3
239	2	152	1	1	0	67	0	0	212	4,7	150	2
240	2	132	0	1	1	55	0	0	342	7,7	166	2
241	2	120	1	0	0	44	2	0	169	4,4	144	3
242	2	140	0	0	1	63	0	0	187	7,9	144	1
243	2	124	1	2	0	63	1	0	197	6	136	2
244	2	120	3	2	0	41	3	0	157	8,9	182	1
245	2	164	0	1	0	59	3	1	176	8,8	90	2
246	2	140	0	2	1	57	1	0	241	7,6	123	3
247	2	110	0	1	0	45	1	0	264	4,8	132	1
248	2	144	1	1	0	68	1	1	193	7,7	141	3
249	2	130	3	1	0	57	2	0	131	6,9	115	2
250	2	130	0	1	1	57	2	0	236	8,2	174	2
251	2	164	2	0	0	59	2	1	176	5,5	90	3
252	2	140	0	0	1	57	3	0	241	6,9	123	3
253	2	110	3	0	0	45	2	0	264	4,6	132	1
254	2	144	3	2	0	68	2	1	193	4,9	141	2
255	2	130	0	1	0	57	2	0	131	8,5	115	1
256	2	130	1	2	1	57	2	0	236	8,6	174	3
257	2	140	1	0	1	40	3	0	199	4	178	3
258	2	160	1	1	1	71	2	0	302	8,5	162	2
259	2	150	2	0	0	59	2	1	212	4,4	157	3
260	2	130	3	2	0	61	3	0	330	9,3	169	2
261	2	112	1	1	1	58	0	0	230	7,5	165	1
262	2	110	3	0	0	51	1	0	175	3,8	123	1
263	2	150	2	2	1	50	2	0	243	4,4	128	1
264	2	140	0	2	1	65	3	1	417	5,7	157	1
265	2	130	1	1	1	53	2	1	197	3,7	152	1
266	2	105	1	1	1	41	0	0	198	8,7	168	3
267	2	120	1	1	1	65	1	0	177	9,4	140	2
268	2	112	1	1	1	44	1	0	290	4	153	1
269	2	130	0	1	1	44	2	0	219	9,3	188	1
270	2	130	2	1	1	60	3	0	253	9,1	144	1
271	2	124	0	0	1	54	3	0	266	5,3	109	1
272	2	140	1	0	0	50	3	0	233	6,9	163	2
273	2	110	3	2	0	41	1	0	172	4,8	158	3
274	2	125	3	1	0	54	1	0	273	8,1	152	1
275	2	125	3	2	0	51	0	0	213	4,3	125	3
276	2	130	3	0	1	51	2	0	305	9,5	142	3
277	2	142	1	2	0	46	2	0	177	6,1	160	2
278	2	128	1	0	0	58	0	0	216	8,4	131	3
279	2	135	2	0	1	54	0	1	304	5,9	170	1
280	2	120	2	2	1	54	3	0	188	8,6	113	2
281	2	145	2	0	1	60	0	0	282	9,5	142	2
282	2	140	2	1	1	60	2	0	185	6,3	155	1
283	2	150	1	0	1	54	3	0	232	7,3	165	1
284	2	170	1	2	1	59	3	0	326	4,6	140	3
285	2	150	3	0	0	46	1	0	231	8	147	2
286	2	110	1	0	0	59	3	0	239	5	142	2
287	2	150	3	0	1	60	3	0	258	5,2	157	1
288	2	134	3	2	1	52	1	0	201	6,8	158	3
289	2	122	0	2	0	48	1	0	222	6,9	186	3
290	2	115	1	0	0	45	2	0	260	6,2	185	3
291	2	118	3	2	0	34	1	0	182	6,1	174	2
292	2	128	0	2	0	57	2	0	303	8,5	159	3
293	2	110	3	1	0	71	3	1	265	9	130	3
294	2	120	3	2	0	49	3	0	188	6,1	139	3
295	2	108	3	2	1	54	0	0	309	8,2	156	2
296	2	140	3	2	1	59	2	0	177	8	162	1
297	2	128	1	1	1	57	2	0	229	4,7	150	3
298	2	120	1	0	0	61	1	0	260	5,4	140	3
299	2	118	1	0	0	39	3	0	219	4,9	140	3
300	2	145	3	0	0	61	3	0	307	4,7	146	2
301	2	125	0	1	1	56	1	1	249	8,9	144	2
302	2	118	1	1	0	52	1	0	186	8,2	190	3
303	2	132	0	0	1	43	1	1	341	6,5	136	1
304	2	135	3	1	1	65	2	0	254	8,4	127	2
305	2	130	3	0	0	48	1	1	256	8,3	150	1
306	2	150	1	1	1	63	2	0	407	8,2	154	3
307	3	164	3	2	0	4	1	0	245	3,5	44	1
308	3	168	0	1	1	8	1	0	344	6,2	30	2
309	3	124	0	1	1	4	1	1	123	3,7	47	2
310	3	171	3	0	0	5	3	0	287	3,7	54	3
311	3	113	3	1	0	30	2	0	303	4,1	26	1
312	3	138	3	1	1	12	2	0	187	8,2	39	1
313	3	174	3	2	0	16	1	1	280	5,7	54	1
314	3	176	2	0	0	3	3	1	276	5,7	4	2
315	3	136	3	2	1	12	2	1	167	9,3	57	3
316	3	126	2	1	0	12	2	0	182	8,7	46	2
317	3	180	2	0	0	29	3	1	73	4	20	3
318	3	165	0	0	1	19	1	0	288	8,8	30	1
319	3	153	0	1	1	3	3	0	255	5	21	3
320	3	147	0	2	1	24	0	1	306	5,5	16	1
321	3	123	0	2	1	20	1	1	320	5,3	2	1
322	3	124	0	0	1	21	2	1	239	8,6	23	1
323	3	140	0	2	0	20	1	0	269	4,1	42	1
324	3	117	0	1	0	14	3	1	238	6,5	65	1
325	3	166	0	2	0	7	1	0	292	4,6	54	2
326	3	155	0	2	0	9	1	0	21	9,1	55	3
327	3	144	0	0	0	20	2	1	6	9	45	1
328	3	170	0	0	0	21	1	1	236	5,6	68	1
329	3	128	0	0	1	6	1	1	162	8	23	1
330	3	140	0	0	1	2	3	0	0	3,7	8	2
331	3	154	0	2	0	3	1	0	246	6,6	30	2
332	3	120	1	0	1	26	0	0	333	5	44	2
333	3	169	3	1	1	16	0	0	87	8,8	21	3
334	3	156	2	0	0	27	3	1	253	7,5	18	2
335	3	152	3	1	0	22	2	1	202	3,8	14	1
336	3	159	3	2	0	24	1	0	319	5,2	31	3
337	3	142	3	2	0	7	3	1	107	6,4	16	1
338	3	116	3	0	0	16	0	1	254	6	24	2
339	3	145	3	0	0	8	3	1	350	3,5	21	1
340	3	142	3	1	0	2	4	1	58	3,5	9	3
341	3	124	3	1	0	3	4	1	168	4,2	44	3
342	3	133	0	2	1	12	2	1	306	9,2	20	3
343	3	124	0	1	1	15	4	1	22	4,2	9	3
344	3	155	2	1	0	4	3	0	128	5,1	16	1
345	3	150	2	1	0	8	4	1	145	6,5	11	2
346	3	169	2	1	0	6	4	1	239	7,2	22	2
347	3	152	2	2	1	3	3	0	296	9,4	3	3
348	3	146	2	2	1	11	4	0	264	7,1	36	2
349	3	158	3	2	1	2	3	1	167	7,2	1	2
350	3	167	3	0	0	11	2	1	85	5,1	30	2
351	3	131	3	2	0	18	3	1	262	3,6	39	2
352	3	173	3	1	0	3	4	0	56	7	32	2
353	3	166	3	0	1	1	4	0	62	5,6	35	1
354	3	151	0	1	0	0	4	0	294	4,6	17	3
355	3	127	2	0	1	7	2	0	93	8,1	54	2
356	3	143	0	0	1	10	2	0	104	5,2	53	3
357	3	134	3	2	1	20	2	1	263	8,4	43	2
358	3	148	2	0	0	1	2	0	8	4,4	68	1
359	3	149	0	1	1	4	4	0	74	5,6	67	2
360	3	167	3	0	1	9	1	1	146	4,1	16	3
361	3	128	2	0	0	12	3	0	174	7,2	25	1
362	3	132	3	2	1	21	4	0	247	5,5	33	2
363	3	121	2	1	0	28	4	1	42	8,9	49	1
364	3	131	2	0	1	10	4	1	87	8,3	67	3
365	3	132	1	1	1	0	4	0	9	4,2	28	3
366	3	128	0	2	0	16	2	0	94	5,8	66	3
367	3	166	3	2	0	25	4	0	218	3,6	25	1
368	3	115	3	1	0	9	4	1	46	4	33	2
369	3	142	3	2	0	15	4	1	183	4,5	50	3
370	1	170	1	0	0	16	3	1	251	6,9	16	1
371	1	156	1	2	1	26	4	0	208	6,6	34	3
372	1	159	0	2	1	24	3	0	204	4,3	46	3
373	1	154	0	2	0	27	4	0	63	6,7	62	1
374	1	142	2	1	0	23	3	0	238	4,9	53	3
375	1	155	3	0	0	12	2	1	138	6,2	19	1
376	1	160	0	0	0	21	2	1	73	6,2	40	3
377	1	148	3	1	1	24	3	1	24	8,2	55	1
378	1	179	0	1	1	20	2	1	82	4,7	70	1
379	1	111	0	2	1	25	1	0	193	4,1	68	2
380	1	132	3	2	1	17	3	0	234	4,6	62	1
381	1	179	2	1	1	15	4	1	185	9,1	32	3
382	1	160	0	2	0	12	4	0	20	4,9	55	2
383	1	164	2	0	0	9	3	1	76	9,5	45	2
384	1	112	2	2	0	1	4	1	100	5	16	3
385	1	135	3	2	0	27	3	1	329	7,8	30	3
386	1	178	2	1	0	8	4	0	168	9,1	67	1
387	1	162	2	0	1	2	4	0	197	7,1	34	2
388	1	147	0	1	0	0	4	1	298	4,9	50	2
389	1	136	2	0	0	29	4	0	315	6,7	29	2
390	1	151	2	1	1	5	1	1	28	6,7	4	3
391	1	148	2	1	0	26	1	0	51	7,3	18	3
392	1	156	3	0	0	2	3	0	278	6,6	39	2
393	1	146	0	0	0	15	3	1	183	5,4	4	2
394	1	159	2	1	0	1	2	0	288	6,8	47	1
395	1	139	0	0	1	12	4	0	305	6,4	49	2
396	1	144	0	2	1	10	4	0	59	4,6	3	3
397	1	139	2	1	0	24	3	0	251	9,1	11	3
398	1	173	3	2	0	14	4	0	185	8	14	3
399	1	143	0	2	1	7	2	1	171	4,2	15	3
400	1	124	2	1	0	18	4	1	174	8,6	22	3
401	2	168	0	1	0	5	4	1	297	6,2	47	2
402	2	176	3	0	0	3	4	1	145	8,6	70	1
403	2	121	0	2	0	11	2	0	213	4	13	1
404	2	163	0	0	1	1	2	0	137	7,6	30	3
405	2	157	0	2	1	26	3	0	78	6	53	2
406	2	179	0	1	1	9	2	1	107	6,7	18	1
407	2	131	0	2	0	25	4	1	175	5,4	51	1
408	2	168	2	0	0	18	4	1	152	8,4	56	1
409	2	134	3	0	1	23	4	1	241	6,5	59	2
410	2	173	0	1	0	17	2	0	13	6,4	52	1
411	2	120	2	1	1	28	4	0	257	6,1	6	1
412	2	164	2	1	0	18	4	1	153	8,5	1	2
413	2	110	0	1	1	7	1	1	178	8,5	53	2
414	2	135	0	0	0	10	4	1	288	4	35	1
415	2	153	2	0	0	13	4	0	207	4,7	67	1
416	2	141	0	2	1	30	2	0	195	8,6	31	2
417	2	142	3	1	0	28	0	0	301	6	21	2
418	2	165	0	1	1	3	0	1	229	7,4	33	3
419	2	178	3	0	0	9	3	1	254	5,7	1	1
420	2	146	0	2	0	0	0	0	298	5,6	5	1
421	2	127	0	2	0	10	0	1	248	7,9	64	2
422	2	136	3	2	1	27	1	0	150	5,7	32	2
423	2	126	2	0	0	16	1	0	224	4,3	55	2
424	2	128	3	1	0	11	2	1	116	6,9	19	3
425	2	143	2	1	1	22	3	0	38	6,3	14	2
426	2	157	3	1	1	15	4	0	134	4,2	20	1
427	2	153	1	2	0	22	3	1	98	7,6	31	2
428	2	121	0	2	0	29	3	0	1	8,9	22	3
429	2	153	2	1	0	4	4	0	314	8,7	25	2
430	2	167	0	0	0	2	3	1	150	8,1	63	2
431	2	164	0	2	0	16	3	1	211	8,2	0	1
432	2	121	0	1	1	4	2	1	285	6,3	3	1
433	2	154	2	1	0	13	4	0	102	5,3	39	2
434	2	116	0	1	1	18	4	0	100	3,6	18	3
435	2	127	0	1	1	30	2	0	183	7,1	45	2
436	2	157	3	1	1	25	4	1	273	6,8	29	1
437	2	125	0	1	1	30	4	0	280	8,6	4	2
438	2	141	0	1	0	11	3	0	264	8,3	61	3
439	2	147	0	2	1	24	4	1	144	6,3	42	1
440	2	135	0	0	0	8	3	1	259	4,4	52	3
441	2	121	2	1	1	22	1	1	107	6,1	29	1
442	2	131	0	1	1	14	4	1	193	9,2	37	2
443	2	130	2	2	1	16	3	0	96	8,4	15	1
444	2	123	2	0	0	9	4	0	290	7,1	22	1
445	2	140	0	2	0	19	3	1	206	4,2	29	1
446	2	113	2	0	0	10	4	0	293	8	10	3
447	3	148	0	2	0	19	4	0	10	8,7	12	3
448	3	143	0	0	0	18	3	0	283	9,4	15	2
449	3	154	0	0	0	21	3	1	343	6,3	12	1
450	3	124	0	2	1	7	4	1	47	6,8	11	2
451	3	177	0	1	1	2	3	1	34	5,3	66	2
452	3	116	0	0	1	2	4	1	127	5,8	8	2
453	3	134	0	2	1	15	4	0	105	4,1	59	2
454	3	163	2	1	1	24	2	1	195	3,5	48	3
455	3	134	0	2	0	20	4	1	129	5,3	29	2
456	3	176	0	1	1	5	4	0	331	9,5	14	1
457	3	131	0	0	0	15	1	0	120	6,9	34	1
458	3	178	3	0	0	28	4	0	8	3,5	13	2
459	3	145	0	0	1	30	3	1	307	8,3	38	2
460	3	157	0	0	0	29	3	1	80	3,6	49	1
461	3	110	0	2	1	20	2	0	139	5,4	59	3
462	3	145	0	0	1	16	4	1	300	6,6	36	3
463	3	120	0	1	1	3	3	0	204	4	54	2
464	3	148	2	2	1	6	4	1	262	3,6	60	3
465	3	122	2	2	0	26	4	1	49	4,3	56	2
466	3	133	2	1	1	24	4	1	262	7	33	2
467	3	117	3	1	0	28	4	1	246	6,7	7	1
468	3	121	2	2	0	46	1	1	259	7,3	62	1
469	3	179	2	1	0	32	4	1	140	7,7	63	1
470	3	165	2	1	1	51	4	0	78	4,2	32	1
471	3	125	2	2	1	36	4	0	59	4,4	52	2
472	3	173	2	2	0	54	4	1	280	5,5	22	3
473	3	147	0	2	0	41	3	1	308	8,4	11	3
474	3	116	0	2	1	40	1	0	331	4,4	14	3
475	3	127	0	1	0	52	3	1	214	6,4	56	2
476	3	153	0	1	1	42	4	1	284	4,3	31	2
477	3	159	0	1	0	30	4	1	172	5,5	21	2
478	3	130	0	2	1	35	1	0	175	6,9	9	2
479	3	111	0	0	0	41	2	0	327	4,3	58	2
480	3	137	0	0	0	34	4	1	322	7,1	70	2
481	3	137	0	0	0	48	4	1	44	6,1	50	2
482	3	170	0	2	0	43	4	0	76	4,2	21	2
483	3	116	0	2	0	30	3	0	67	9	60	2
484	3	151	0	0	0	33	3	1	22	6,2	15	3
485	3	144	0	0	0	44	4	0	185	7,2	47	2
486	3	142	2	2	1	50	2	1	114	3,5	21	3
487	3	118	2	1	0	51	3	0	253	8,5	69	1
488	3	150	2	0	1	45	2	1	94	4,6	3	3
489	3	122	2	1	0	48	2	1	160	4,4	39	3
490	3	111	2	1	0	58	3	0	290	8,1	54	1
491	3	155	2	1	0	47	3	1	46	6	51	1
492	3	135	0	0	1	59	4	1	6	9,5	5	1
493	3	122	2	0	0	59	4	0	157	7,7	39	3
494	3	145	0	1	0	38	3	1	179	9	49	3
495	3	136	2	0	1	56	4	0	191	6,4	70	2
496	3	161	0	0	1	40	1	0	181	7,4	35	1
497	3	128	0	2	1	33	4	0	28	9,4	1	2
498	3	121	0	2	0	48	2	0	40	8,5	36	1
499	3	148	0	1	0	56	1	0	124	5,4	29	1
500	3	142	0	2	1	52	4	1	123	3,7	49	3
